Ticker,Date,시가총액(억),보유비중(%),거래비중(%),보유자수(명),내부보유금액(억),"24시간 순입금(억)",전일대비유통량증감(%),"24시간 거래금액(억)",체결강도(%),가격,빗썸유통비율(%),거래금액/내부보유금액(%),순입금/내부보유금액(%),"1주일 상승률(%)","1개월 상승률(%)","3개월 상승률(%)"
ZIL,2024/04/02,7849,17,39,116474,104.54,4.4,-0.64,21.3,81.04,0,1.33,20.37,4.21,-6.28,6.42,51.77
WAXP,2024/04/02,3999,12,49,91299,111.13,-0.56,0.5,18,80.01,125,2.78,16.2,-0.5,-13.19,8.69,42.85
POWR,2024/04/02,2507,16,48,76733,62.18,0.42,0.5,6.2,77.54,522,2.48,9.97,0.68,-11.82,-2.97,-26.27
LRC,2024/04/02,6361,24,51,68300,79.53,-2,-0.59,9.4,74.84,497,1.25,11.82,-2.51,-12.65,7.34,35.79
STEEM,2024/04/02,1850,17,47,58206,59.53,-0.42,0.24,6.5,45.37,430,3.22,10.92,-0.71,-9.09,-0.46,31.09
ZRX,2024/04/02,7892,15,64,62844,158.27,-45.6,-15.82,92.8,45.67,994,2.01,58.63,-28.81,-36.36,64.02,121.87
SNT,2024/04/02,2339,13,46,80416,76.36,0.18,-0.01,5.4,74.05,0,3.26,7.07,0.24,-8.91,-8.28,12.96
ADA,2024/04/02,286561,5,39,195527,1523.58,17.5,0.83,75.8,65.43,856,0.53,4.98,1.15,-7.15,-21.82,11.89
CTXC,2024/04/02,1168,8,42,75245,191.47,0.94,0.07,25.6,61.71,567,16.39,13.37,0.49,-18.06,-33.76,8.82
BAT,2024/04/02,6031,10,61,38015,83.91,-0.16,-0.01,5.6,107.49,431,1.39,6.67,-0.19,-11.49,-5.48,29.42
